City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,anadyr,64.75,177.4833,-24.72,75,40,8.0,RU,1737219360
83,selfoss,63.9331,-20.9971,1.69,86,100,6.51,IS,1737219440
84,karratha,-20.7377,116.8463,26.18,92,100,14.23,AU,1737219514
85,taunggyi,20.7833,97.0333,12.04,60,21,0.75,MM,1737219515
86,ballina,-28.8667,153.5667,22.72,77,100,9.98,AU,1737219517
87,awjilah,29.1081,21.2869,17.88,38,100,1.68,LY,1737219518
88,kone,-21.0595,164.8658,23.78,84,100,1.35,NC,1737219519
89,la passe,45.5549,-0.8967,3.95,76,1,1.43,FR,1737219520
90,zhangye,38.9342,100.4517,-4.01,43,34,3.14,CN,1737219521
91,vohenstrauss,49.6238,12.3381,2.18,81,2,3.17,DE,1737219522
92,bilibino,68.0546,166.4372,-31.11,95,11,2.23,RU,1737219359
93,labrador city,52.9463,-66.9114,-8.23,81,100,10.73,CA,1737219525
94,fale old settlement,-9.3852,-171.2468,27.72,78,43,4.88,TK,1737219526
95,zunyi,27.6867,106.9072,7.66,84,100,1.49,CN,1737219527
96,lorengau,-2.0226,147.2712,28.06,77,69,3.4,PG,1737219528
97,varto,39.1732,41.4559,-8.22,75,47,3.76,TR,1737219529
98,quirihue,-36.2833,-72.5333,28.25,19,0,2.35,CL,1737219530
99,chifeng,42.2683,118.9636,-6.13,47,2,3.9,CN,1737219531
100,nar'yan-mar,67.6713,53.087,-9.83,95,100,7.17,RU,1737219533
101,prince rupert,54.3161,-130.3201,2.83,96,100,5.14,CA,1737219386
102,hami,42.8,93.45,-6.01,55,15,1.65,CN,1737219535
103,qulsary,46.9531,54.0198,0.09,99,100,3.68,KZ,1737219536
104,invercargill,-46.4,168.35,10.57,91,100,0.45,NZ,1737219414
105,nemuro,43.3236,145.575,-6.4,75,5,2.68,JP,1737219539
106,thunder bay,48.4001,-89.3168,-19.01,55,40,7.72,CA,1737219540
107,souillac,-20.5167,57.5167,27.21,69,20,2.06,MU,1737219542
108,petropavlovsk-kamchatsky,53.0452,158.6483,-17.67,66,0,4.0,RU,1737219396
109,dudinka,69.4058,86.1778,-14.4,95,100,4.67,RU,1737219544
110,kodinsk,58.6881,99.1844,-18.43,100,100,1.02,RU,1737219545
111,codrington,-38.2667,141.9667,15.54,72,3,3.37,AU,1737219546
112,minas de marcona,-15.2119,-75.1103,22.68,53,86,7.33,PE,1737219547
113,okakarara,-20.5833,17.4333,27.44,31,100,6.99,NA,1737219548
114,santarem,-2.4431,-54.7083,27.07,78,75,4.63,BR,1737219550
115,thompson,55.7435,-97.8558,-32.91,68,0,5.66,CA,1737219551
116,berdigestyakh,62.0989,126.6992,-37.87,100,91,1.05,RU,1737219552
117,vorgashor,67.5833,63.95,-20.15,99,96,2.36,RU,1737219553
118,stanley,54.868,-1.6985,1.4,89,20,1.03,GB,1737219554
119,hawaiian paradise park,19.5933,-154.9731,19.29,99,7,0.45,US,1737219555
120,general conesa,-40.1,-64.4333,32.29,24,21,4.18,AR,1737219556
121,tazovsky,67.4667,78.7,-15.56,96,100,2.5,RU,1737219558
122,bodo,67.28,14.405,1.54,95,75,6.17,NO,1737219442
123,labytnangi,66.6572,66.4183,-19.15,96,63,2.06,RU,1737219561
124,beau vallon,-20.4189,57.6953,27.13,69,20,2.06,MU,1737219562
125,suntar,62.1444,117.6319,-16.95,96,100,2.72,RU,1737219563
126,richlands,37.0932,-81.7937,1.49,96,100,2.13,US,1737219269
127,chulym,55.0997,80.9572,-14.73,97,99,3.85,RU,1737219566
128,carnarvon,-24.8667,113.6333,26.11,80,25,8.3,AU,1737219568
129,yeppoon,-23.1333,150.7333,23.58,78,0,1.91,AU,1737219569
130,gazli,40.1333,63.45,5.36,62,98,3.18,UZ,1737219570
